,etablissement,filiere_agregee,zone,statut_simplifie,region
7928,Lycée polyvalent Raphaël Elizé,BTS,Province,Public,Pays de la Loire
7929,Lycée La Fayette,BTS,Province,Public,Auvergne-Rhône-Alpes
7930,Aix-Marseille Université - Site de Marseille Saint Charles,Autre formation,Province,Public,Provence Alpes Côte d'Azur
7931,Lycée Saint Stanislas,Autre formation,Province,Privé,Occitanie
7932,Facultés libres de l'ouest - UCO - Nantes,Licence,Province,Privé,Pays de la Loire
7933,Lycée Cesar Baggio,BTS,Province,Public,Hauts-de-France
7934,Université de Rennes 2,Licence,Province,Public,Bretagne
7935,Université Lumière-Lyon 2,Licence,Province,Public,Auvergne-Rhône-Alpes
7936,Université Lumière-Lyon 2,Licence,Province,Public,Auvergne-Rhône-Alpes
7937,Institut de Formation de Manipulateurs d'Electroradiologie du CHU de Rennes (IFMEM),Autre formation,Province,Public,Bretagne
7939,Université Paris 1 Panthéon Sorbonne,Licence,Ile-de-France,Public,Ile-de-France
7940,Lycée Dumont D'Urville,BTS,Ile-de-France,Public,Ile-de-France
7941,Lycée Vaucanson,BTS,Ile-de-France,Public,Ile-de-France
7942,Lycée professionnel La Closerie,BTS,Province,Public,Bretagne
7943,Lycée Francois Mauriac-Forez,BTS,Province,Public,Auvergne-Rhône-Alpes
7944,Lycée professionnel Leonard De Vinci,BTS,Province,Public,Provence Alpes Côte d'Azur
7945,Lycée Paul Langevin,BTS,Ile-de-France,Public,Ile-de-France
7946,Université du Mans,Autre formation,Province,Public,Pays de la Loire
7947,CNED,BTS,Province,Public,Nouvelle-Aquitaine
7948,Lycée professionnel Jean Moulin,BTS,Ile-de-France,Public,Ile-de-France
7949,Lycée Victor Louis,BTS,Province,Public,Nouvelle-Aquitaine
7950,Lycée Marlioz,BTS,Province,Public,Auvergne-Rhône-Alpes
7951,Lycée professionnel Ducharmoy,BTS,Outre-mer / Etranger,Public,Guadeloupe
7952,Lycée Alexandre Dumas (Hotelier),Autre formation,Province,Public,Grand Est
7953,Lycée Alexandre Dumas (Hotelier),Autre formation,Province,Public,Grand Est
7954,Lycée professionnel Darche,Autre formation,Province,Public,Grand Est
7955,Lycée Jean Monnet,Autre formation,Province,Public,Occitanie
7956,Lycée La Martinière-Diderot,Autre formation,Province,Public,Auvergne-Rhône-Alpes
7957,Lycée Vauban,Autre formation,Province,Public,Bretagne
7958,Lycée La Martinière-Diderot,Autre formation,Province,Public,Auvergne-Rhône-Alpes
7959,Lycée Polyvalent Jean Monnet,Autre formation,Province,Public,Auvergne-Rhône-Alpes
7960,Université d'Orléans - Centre Univ. de Bourges (Bourges),Licence,Province,Public,Centre-Val de Loire
7961,ECOLE NATIONALE SUPERIEURE A.A-MET.D'ART.,Autre formation,Ile-de-France,Public,Ile-de-France
