,statut_etab,etablissement,region,selectivite,filiere_agregee,capacite,ran_grp1,acc_tot,pct_bours,pct_f,pct_brs,pct_ab,pct_b,pct_tb,selectivite_bin,statut_simplifie,zone,capacite_log,ran_grp1_log,taux_remplissage,taux_remplissage_clipped
1376,Privé enseignement supérieur,IRTS-IDS,Normandie,formation selective,EFTS,46.0,77.0,46,14.29,82.61,4.3478260869565215,6.521739130434782,10.869565217391305,4.3478260869565215,1,Privé,Province,3.8501476017100584,4.356708826689592,1.0,1.0
1377,Privé enseignement supérieur,IRTS-IDS,Normandie,formation selective,EFTS,18.0,8.0,12,0.0,83.33,0.0,0.0,0.0,0.0,1,Privé,Province,2.9444389791664403,2.1972245773362196,0.6666666666666666,0.6666666666666666
1378,Public,Lycée professionnel maritime Pierre Loti,Bretagne,formation selective,Autre formation,12.0,30.0,10,44.44,0.0,40.0,20.0,40.0,10.0,1,Public,Province,2.5649493574615367,3.4339872044851463,0.8333333333333334,0.8333333333333334
1379,Privé sous contrat d'association,IFMES,Martinique,formation selective,EFTS,6.0,7.0,6,0.0,100.0,0.0,16.666666666666668,0.0,16.666666666666668,1,Privé,Outre-mer / Etranger,1.9459101490553132,2.0794415416798357,1.0,1.0
1380,Public,Lycée Pablo Picasso,Hauts-de-France,formation selective,BTS,35.0,28.0,35,71.43,71.43,57.142857142857146,31.428571428571427,20.0,2.857142857142857,1,Public,Province,3.58351893845611,3.367295829986474,1.0,1.0
1381,Privé sous contrat d'association,Lycée Du Matin Le Mirail,Nouvelle-Aquitaine,formation selective,Autre formation,25.0,158.0,21,26.67,90.48,19.047619047619047,38.095238095238095,4.761904761904762,4.761904761904762,1,Privé,Province,3.258096538021482,5.0689042022202315,0.84,0.84
1382,Public,Lycée Déodat de Séverac,Occitanie,formation selective,BTS,24.0,46.0,26,36.36,26.92,30.76923076923077,57.69230769230769,7.6923076923076925,0.0,1,Public,Province,3.2188758248682006,3.8501476017100584,1.0833333333333333,1.0833333333333333
1383,Public,IFSI Louis Mourier (AP-HP),Ile-de-France,formation selective,IFSI,81.0,2335.0,80,41.67,85.0,18.75,18.75,18.75,2.5,1,Public,Ile-de-France,4.406719247264253,7.756195343948118,0.9876543209876543,0.9876543209876543
1384,Public,Lycée Auguste Behal,Hauts-de-France,formation selective,BTS,50.0,42.0,49,51.35,95.92,38.775510204081634,26.53061224489796,36.734693877551024,8.16326530612245,1,Public,Province,3.9318256327243257,3.7612001156935624,0.98,0.98
1385,Privé sous contrat d'association,IFSI - CROIX ROUGE FRANCAISE - St Jean-de-Monts,Pays de la Loire,formation selective,IFSI,38.0,2020.0,38,8.0,94.74,5.2631578947368425,31.57894736842105,23.68421052631579,0.0,1,Privé,Province,3.6635616461296463,7.611347717403621,1.0,1.0
1386,Public,Lycée D'Artagnan,Occitanie,formation selective,Autre formation,14.0,37.0,13,12.5,0.0,7.6923076923076925,46.15384615384615,7.6923076923076925,7.6923076923076925,1,Public,Province,2.70805020110221,3.6375861597263857,0.9285714285714286,0.9285714285714286
1387,Public,Lycée Pierre Bayle,Grand Est,formation selective,BTS,36.0,69.0,34,46.43,55.88,38.23529411764706,26.470588235294116,11.764705882352942,8.823529411764707,1,Public,Province,3.6109179126442243,4.248495242049359,0.9444444444444444,0.9444444444444444
1388,Public,Lycée Les Lombards,Grand Est,formation selective,BTS,36.0,62.0,34,25.0,5.88,23.529411764705884,32.35294117647059,29.41176470588235,5.882352941176471,1,Public,Province,3.6109179126442243,4.143134726391533,0.9444444444444444,0.9444444444444444
1389,Privé sous contrat d'association,Lycée LA SALLE,Grand Est,formation selective,BTS,23.0,8.0,22,7.14,86.36,4.545454545454546,9.090909090909092,18.181818181818183,4.545454545454546,1,Privé,Province,3.1780538303479458,2.1972245773362196,0.9565217391304348,0.9565217391304348
1390,Public,Lycée Alexis Monteil,Occitanie,formation selective,BTS,35.0,84.0,32,46.43,81.25,40.625,34.375,9.375,0.0,1,Public,Province,3.58351893845611,4.442651256490317,0.9142857142857143,0.9142857142857143
1391,Privé sous contrat d'association,LEAP St-Joseph,Auvergne-Rhône-Alpes,formation selective,BTS,26.0,14.0,16,45.45,43.75,31.25,12.5,0.0,0.0,1,Privé,Province,3.295836866004329,2.70805020110221,0.6153846153846154,0.6153846153846154
1392,Public,Université Clermont Auvergne,Auvergne-Rhône-Alpes,formation non selec,Licence,280.0,994.0,252,29.65,38.89,20.238095238095237,17.857142857142858,5.555555555555555,5.555555555555555,0,Public,Province,5.638354669333745,6.902742737158593,0.9,0.9
1393,Public,Lycée Polyvalent Pierre-Joël Bonté,Auvergne-Rhône-Alpes,formation selective,BTS,15.0,72.0,16,12.5,18.75,12.5,62.5,25.0,0.0,1,Public,Province,2.772588722239781,4.290459441148391,1.0666666666666667,1.0666666666666667
